id,listing_url,name,bedrooms,beds,bathrooms,accommodates,price,room_type,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_id,host_name,host_since,current_host_listings,total_host_listings_count,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
53834698,https://www.airbnb.com/rooms/53834698,Rental unit in Asheville , 1 bedroom , 2 beds , 1 bath,4,80,Entire home/apt,5,5,5,5,5,5,5,121681645,Evolve,3/20/2017,1528,2351,180,2,8/31/2023,0.1,2,224,1
6.19E+17,https://www.airbnb.com/rooms/619419707858005894,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,137,Entire home/apt,5,5,5,5,5,5,5,121681645,Evolve,3/20/2017,1528,2351,2,12,8/19/2023,0.84,3,2,8
6.47E+17,https://www.airbnb.com/rooms/647499312875397788,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,91,Entire home/apt,5,5,4.83,5,5,5,5,121681645,Evolve,3/20/2017,1528,2351,2,6,10/28/2022,0.52,1,0,6
7.87E+17,https://www.airbnb.com/rooms/786892739148623801,Rental unit in Asheville , 1 bedroom , 2 beds , 1 bath,4,116,Entire home/apt,5,4.95,5,5,5,5,5,121681645,Evolve,3/20/2017,1528,2351,1,20,9/10/2023,6.82,1,26,20
8.09E+17,https://www.airbnb.com/rooms/808832407323703451,Home in Arden , 1 bedroom , 1 beds , 1 bath,2,75,Entire home/apt,5,5,5,5,5,5,5,121681645,Evolve,3/20/2017,1528,2351,2,7,9/4/2023,3.96,1,286,7
8.87E+17,https://www.airbnb.com/rooms/886871167668195765,Rental unit in Candler , 1 bedroom , 1 beds , 1 bath,2,75,Entire home/apt,,,,,,,,121681645,Evolve,3/20/2017,1528,2351,30,0,,,1,348,0
9.03E+17,https://www.airbnb.com/rooms/902810904978292616,Rental unit in Asheville , 1 bedroom , 2 beds , 1 bath,4,116,Entire home/apt,,,,,,,,121681645,Evolve,3/20/2017,1528,2351,1,0,,,1,255,0
9.14E+17,https://www.airbnb.com/rooms/913737146291379712,Loft in Asheville , 1 bedroom , 2 beds , 1 bath,2,75,Entire home/apt,,,,,,,,456511812,Evolve,4/28/2022,1173,1444,90,0,,,1,286,0
9.34E+17,https://www.airbnb.com/rooms/934253954422000522,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,788,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,29,0,,,1,0,0
9.34E+17,https://www.airbnb.com/rooms/934254178274913102,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,3,640,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,30,0,,,1,221,0
9.34E+17,https://www.airbnb.com/rooms/934253600349502343,Rental unit in Asheville , 1 bedroom , 2 beds , 1 bath,4,661,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,30,0,,,43,0,0
9.34E+17,https://www.airbnb.com/rooms/934254553856369722,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,605,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,10,0,,,1,142,0
9.34E+17,https://www.airbnb.com/rooms/934254685608009725,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,3,747,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,1,0,,,19,0,0
9.34E+17,https://www.airbnb.com/rooms/934255221505589910,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,3,1280,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,30,0,,,4,318,0
9.34E+17,https://www.airbnb.com/rooms/934255592855102634,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,649,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,30,0,,,1,62,0
9.34E+17,https://www.airbnb.com/rooms/934255721402011159,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,590,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,1,0,,,13,13,0
9.34E+17,https://www.airbnb.com/rooms/934256042476670989,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,697,Entire home/apt,,,,,,,,520869021,Cozyliving Suites,6/19/2023,726,1219,1,0,,,1,364,0
38931169,https://www.airbnb.com/rooms/38931169,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,204,Entire home/apt,4.93,4.89,4.93,5,4.96,4.86,4.93,151397468,Evolve,9/20/2017,509,1165,3,28,8/20/2023,1.86,1,280,21
45653583,https://www.airbnb.com/rooms/45653583,Cottage in Arden , 1 bedroom , 1 beds , 1 bath,2,85,Entire home/apt,4.95,4.95,4.84,4.89,4.89,4.95,4.95,151397468,Evolve,9/20/2017,509,1165,4,19,9/2/2023,0.6,1,18,6
5.54E+17,https://www.airbnb.com/rooms/554287692513149899,Condo in Asheville , 1 bedroom , 1 beds , 0 baths,2,166,Entire home/apt,,,,,,,,443139360,Vacasa North Carolina,2/1/2022,322,473,1,0,,,3,60,0
5.54E+17,https://www.airbnb.com/rooms/554287551309732819,Rental unit in Asheville , 1 bedroom , 2 beds , 1.5 baths,4,184,Entire home/apt,4.84,4.89,4.69,4.96,4.94,4.84,4.84,443139360,Vacasa North Carolina,2/1/2022,322,473,3,123,8/14/2023,2.34,1,162,30
8.31E+17,https://www.airbnb.com/rooms/831443447835778403,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,130,Entire home/apt,5,5,5,5,5,5,5,443139360,Vacasa North Carolina,2/1/2022,322,473,3,1,9/4/2023,1,1,96,1
8.34E+17,https://www.airbnb.com/rooms/833975902820133508,Guesthouse in Asheville , 1 bedroom , 3 beds , 0 baths,6,212,Entire home/apt,,,,,,,,443139360,Vacasa North Carolina,2/1/2022,322,473,30,0,,,1,269,0
8.59E+17,https://www.airbnb.com/rooms/858685773045753003,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,103,Entire home/apt,,,,,,,,443139360,Vacasa North Carolina,2/1/2022,322,473,3,0,,,2,365,0
8.59E+17,https://www.airbnb.com/rooms/858751950790032008,Rental unit in Asheville , 1 bedroom , 2 beds , 0 baths,4,114,Entire home/apt,,,,,,,,443139360,Vacasa North Carolina,2/1/2022,322,473,2,0,,,1,349,0
36068314,https://www.airbnb.com/rooms/36068314,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,115,Entire home/apt,4.93,5,4.88,4.98,4.98,4.98,4.93,10603047,Greybeard,12/13/2013,183,345,3,41,7/1/2023,0.6,2,172,10
7.73E+17,https://www.airbnb.com/rooms/773240222646224667,Home in Asheville , 1 bedroom , 1 beds , 2 baths,4,105,Entire home/apt,4.81,4.92,4.87,4.97,4.92,4.83,4.81,10603047,Greybeard,12/13/2013,183,345,3,63,7/18/2023,1.94,1,227,6
7.76E+17,https://www.airbnb.com/rooms/776014861241735902,Home in Asheville , 1 bedroom , 2 beds , 1 bath,3,89,Entire home/apt,5,5,5,4.75,4.5,4.75,5,10603047,Greybeard,12/13/2013,183,345,2,4,8/13/2023,1.62,28,344,4
8.32E+17,https://www.airbnb.com/rooms/831978562322702951,Home in Asheville , 1 bedroom , 2 beds , 1 bath,4,87,Entire home/apt,5,5,5,5,5,5,5,10603047,Greybeard,12/13/2013,183,345,1,1,9/10/2023,1,1,263,1
8.32E+17,https://www.airbnb.com/rooms/831980203296811461,Home in Asheville , 1 bedroom , 2 beds , 1 bath,4,87,Entire home/apt,5,5,5,5,5,5,5,10603047,Greybeard,12/13/2013,183,345,1,5,9/10/2023,5,2,332,5
8.59E+17,https://www.airbnb.com/rooms/858702635980096611,Bungalow in Asheville , 1 bedroom , 2 beds , 2 baths,4,101,Entire home/apt,4.82,4.95,4.87,5,4.99,4.89,4.82,10603047,Greybeard,12/13/2013,183,345,30,105,8/27/2023,1.47,1,122,7
48899543,https://www.airbnb.com/rooms/48899543,Home in Asheville , 1 bedroom , 2 beds , 2 baths,5,150,Entire home/apt,4.78,4.89,4.44,4.89,4.56,4.89,4.78,96187307,Yonder,9/21/2016,252,299,2,9,4/26/2021,0.27,2,88,0
53846446,https://www.airbnb.com/rooms/53846446,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,106,Entire home/apt,5,5,5,5,5,4.67,5,96187307,Yonder,9/21/2016,252,299,2,3,10/23/2022,0.25,1,0,3
